from_pct,to_pct,from_pulse_us,to_pulse_us,tau_s,delay_s,r2,used_points
0.000,5.000,1100,1142,0.212338,0.249689,0.929623,16
5.000,10.000,1142,1184,0.164381,0.175883,0.907820,15
10.000,15.000,1184,1226,0.158250,0.173711,0.906952,15
15.000,20.000,1226,1268,0.175218,0.174715,0.911151,15
20.000,25.000,1268,1310,0.162219,0.174790,0.920596,15
25.000,30.000,1310,1352,0.197225,0.174605,0.907269,12
30.000,35.000,1352,1394,0.199510,0.175237,0.909517,12
35.000,40.000,1394,1436,0.174783,0.150049,0.872346,13
40.000,45.000,1436,1478,0.174507,0.149890,0.905671,12
45.000,50.000,1478,1520,0.202651,0.148863,0.910606,12
50.000,55.000,1520,1562,0.165439,0.149198,0.902134,12
55.000,60.000,1562,1604,0.187433,0.149311,0.908387,12
60.000,65.000,1604,1646,0.162652,0.148808,0.897461,12
65.000,70.000,1646,1688,0.174964,0.149176,0.904082,12
70.000,75.000,1688,1730,0.154508,0.149807,0.897868,12
75.000,80.000,1730,1772,0.142016,0.199078,0.875325,9
80.000,85.000,1772,1814,0.128200,0.198229,0.866834,9
85.000,90.000,1814,1856,0.178030,0.124345,0.908068,12
90.000,95.000,1856,1898,0.121276,0.198371,0.868809,9
95.000,100.000,1898,1940,2.105432,0.200618,0.678564,13
